Abantius	     Abantian (i.e. Euboean).
Acarnanus	     Acarnanian.
Achaeias	     Greek.
Achaemenius	     Achaemenian (i.e. Persian or Parthian).
Acte2	     Old name of Attica.
Adonium	     (Used erroneously by Pliny in 
Aeacides	           Ann.
ccAegates	        ~es insulae
Aegyptiacus	     Connected with or concerning Egypt.
Aegyptus1	        Egypt.
Aethalis	     Aethalian (from its Greek name).
Aethiopus	     Ethiopian.
Aglaie	     One of the Graces.
Agricola2	     Cognomen of 
Agrippa	        CIL
Agylla	     Former name of Caere.
ccAgyllinus	       urbs ~a
Aleius	       ~i campi
Aliarius	       Compitum ~um
Alidensia	     (apparently) Garments made at Alinda in Caria.
ssAllobrox	     (pl.) A tribe in 
ccAlsietinus	       Lacus ~us
Ambracius	     Ambracian.
Amphilochius	        Amphilochian.
Amyclides	     Hyacinthus, who was worshipped at Amyclae.
Ancus2	     (in full 
Antilibanus	     (usu.) 
Aones	     Boeotian.
Apollo	     Orthography 
Arabs2	     Arabian.
Arcas2	     Arcadian.
Archiacus	     Made by Archias (apparently as being typically plain).
ccAremoricus	       ~ae ciuitates
Argus2	     (apparently) Argive.
Ascanius2	     (in substantival or quasi-substantival geographical names)
Asiagenus	        Cornelius Scipio, consul in 190 bc (cf. Asiāticus).
Asias	     Asia, the East.
Asopius	     Descended from Asopus.
Atellanicus	     Belonging to Atellan farce.
Athena	         58.7). The goddess Athena.
ccAtlantios	       nodus ~ios
Auentinus1	         Sil.
Babyloniacus	           Babylonian.
Babylonicus	           Babylonian.
Babyloniensis	           Babylonian.
Berecyntiades	           Berecyntian (cf. Berecynthius).
Bioneus	           Characteristic of Bion, i.e. satirical.
Bisaltis	           Theophane, daughter of Bisaltes.
Bistonius	           Bistonian, Thracian.
Bituriges	            . A people of Aquitania.
Boeoticus	           Boeotian.
Boeotis	           Boeotia.
Boius	             Pl. Boiī or Boī
ccBorysthenius	           (  ~us amnis
Britanni	              Orthography 
Britannus	           British.
Buthrotum	               and 
Byzantiacus	           Byzantine.
Calabricus	           Calabrian.
Calchedonensis	            {v= Calchēdonius.}
Calydoneus	           Calydonian.
Calydonis	           Calydonian; (as noun) a Calydonian woman; (spec.) Deianira.
Campanianus	           Situated in Campania.
Capaneus1	     e͡i		{ge = ~e͡i, pos = m.} del3
Cappadocicus	           Cappadocian.
Cappadocius	           Cappadocian:
Carchedoniacos	           Carthaginian.
Caryatides	           Marble statues of women used as pillars in temples, etc.
ccCascellianus	             iudicium ~um
Cassandra	             (  Quint.
Cebenna	              {pos=(pl.)} or 
Ceubennae	{pos = pl.,v=Cebenna}
ccCebennicus	             ~i montes
Cecropia	           Athens.
Celtiberice	        In the Celtiberian language.
Celtica	           Celtic country.
Celticus	           Celtic; 
Cenomani	                 9(1)). A Gallic tribe.
Cepheis	           Daughter of Cepheus, Andromeda.
Cepheius	           Descended from Cepheus.
Chios	               Forms 
Chironium	               Centaury, 
Christiani	           Followers of Christ, Christians.
Christus	           Christ.
Cimbrice	        In the Cimbrian language.
Cimmericus	           Cimmerian.
Cimolus	           One of the Cyclades.
ccCiprius	              uicus ~us
Cliuicola	           (apparently) A god presiding over slopes.
Corinthiacus	           Corinthian.
ccCorycides	             ~es nymphae = Coryciae nymphae
Cydonaeus	            Cydonian; (especially, as poet. epithet for arrows, etc.) Cretan.
Cyrenae	                    7.4;   Verg.
Dacius	           Dacian.
ssDalmatae	             Delm-
Damascena2	           Plums (
Dardanis	           Trojan.
Dardanus2	           Dardanian, i.e. Trojan; (m. as noun) a Trojan; (neut. as noun) = Dardania b.
Daunias	        (as noun) Daunia, Apulia.
Deliacus	           Born or living in Delos, Delian.
ccDia2	             Dea ~a
Diocleus	           Named after Diocles, fourth-century bc Greek physician.
Diomedeus	              Belonging to or connected with Diomedes (see Diomēdēs 1).
Dis2	     {inflection =Dītis, pos = m.} delf3
Dolabellianus	           Named after a Dolabella.
Dorice	        In the Doric dialect.
Doris2	           Dorian, Doric; also, Greek (as opposed to Trojan).
Elidensis	            . Of Elis, Elean.
Fanester	           Of 
ccFerentina	             Aqua ~a
ccFeronius	             Picus ~us
ccFiculea	              (  ~a uetus
ccFlumentanus	             Porta ~a
Gaius	           Forms 
Galilaea	           Galilee.
Galla3	           used by Catullus for 
Gallograecia	           Galatia.
Gallograecus	           Galatian; (also m. as noun).
Gallus3	           Gallic; (probably also) Galatian.
ccGenita2	             ~a Mana
Geryon	                     delf13
Getice	        In the Getic language.
Gnosias	           {v = Gnōsis}
Graeciensis	           Grecian, Greek.
Hebraeus	           Hebrew, Jewish.
Helladicus	           Hellenic.
Hellespontias	     {ge= -ae}	 delf4
ccHercynius	             silua ~a
Herem	        (apparently) An Italian goddess (cf. Heriem).
Hermes	   {inflection = ~ae, pos=m.} delf4
nnvvHerma	{inflection = ~ae, variant_of=Hermes}
Hibericus	           Iberian, Spanish.
Hibernia	           Ireland.
Hispane	        In the Spanish manner.
Horconia	           {inflection=~ae}
nnvvHolconia	{variant_of=Horconia}
Hymen	     Ov.
Ianigena	           Born of Janus.
Iapygius	           Iapygian.
Iapyx2	        Iapygian.
Iastius	           (music) Ionic.
Icelus	             Marcianus ~us
Iguuini	           {v = Īguuīnātēs}
Ion2	     {inflection=Ĭōnos; Ĭōnis} 
Ioniacus	           Ionian.
Ionis	           Ionian.
Ismara	                  a  delf9
Iuuerna	           Ireland.
ccLarius	             ~us lacus
ccLatiniensis	             ager ~is
Latinum	           Latin speech, Latin.
Laus2	             Laus Pompeia
Lausus	           (mythology)
ccLemannus	             lacus ~us
Lesbiacus	           Lesbian.
Lesbous	           lesbian.
ccLibanus	             mons ~us
Libyaticus	           (Hypothetical word for Libycus formed on analogy of 
Libystinus	           African.
Libystis	           African.
Liguscus	           Apparently variant of Ligusticus.
Lips	     {ge=Libis; Libos}
ssMacae	           (sg. 
Macareis	           (myth.) The daughter of Macareus.
Macedonia	           Macedonia.
Macedonianus	           (  senatus consultum
Macedoniensis	           Macedonian.
Maeuius	           (leg.) A conventional personal name.
Malea	           Perhaps also  delf9
nnvvMalēae	{inflection=~ārum, pos = f. pl., variant_of=Malea}
nnvvMalēum	{variant_of=Maleae}
Maleum	           Cape Malea.
ccMaliacus	         {pos=adj.} sinus ~us
Maro1	           The 
Massylus	           Massylian, (often poet. for) African.
Maurusiacus	           Moorish, Moroccan.
Mazaces	              . A Numidian tribe.
Megara1	                      a
Melanippa	       {inflection=~ae; ~ē; ~ēs}
ccMerica	             uitis ~a
Midas	           (mythology) A Phrygian king who, as a reward from Bacchus, turned to gold all that he touched; he was punished for his insensitivity to Apollo's music by being given ass's ears.
Milo2	           A 
Mimalloneus	           Bacchantic.
Moesicus	           as Moesiāticus.
ccMoschicus	             mons ~us
Moyses	            Moses, the Jewish lawgiver.
ccMugio2	              porta (portae) ~onis
Mummianus	           Named after a Mummius.
ccMurcius	              metae ~ae
ccMyrtous	             mare ~um
Mys2	     {ge= Myos}
iivvMytilenensis	            = Mytilēnaeus.
Narbo	           (in full) 
ccNartes	             Interamnates ~es
Nasamonias	           Nasamonian.
Nasamonius	           Nasamonian; (in quotations, poet.) African, Libyan.
ccNicolaus	             palma ~i
Nioba	              Niobe, daughter of Tantalus, whose many children were killed by Apollo and Artemis because she boasted she was Leto's equal; she turned to stone with weeping. 
Nisus2	           (mythology) A king of Megara, betrayed by his daughter Scylla; he was turned into a sea eagle.
Nomades		               delf11
Nomas	{inflection=~adis; ~ados, pos= m. f.}
Nysigena	           Born on Mount Nysa, birthplace of Bacchus.
