(h)ari-	harusp		haruspex
(h)ib-	hybri		hybrida
-a	s		canities, Carmentis, choraules, Pelias, planities, sophistes, Atrides
-a	e		Circe, cunae, Dione, elate, Ephyre, Erigone, facetiae, gnomonice, Grauiscae, Hecate, Hermione, heroine, Iugulae, Messene, Omphale, oporothece, oxymyrsine, Panope, Penelope, Phoenice, Pirene, Priene, Salonae, Scythice, Semele, Sinope, Taygete, Temese, Antemnae, Aphidnae, Ariane, Arsinoe
-a	n		Dindymon
-a	a		Patara
-aa	ae		Pasiphae
-acium	aceus		mustaceus
-aclum	culum		gubernaculum
-ae	ia		Cutilia
-ae	sa		Pagasa
-aea	hea		Amalthea
-aeum	geum		hypogeum
-aicus	aecus		Callaecus
-ans	mas		adamas
-apsis	opsis		paropsis
-ar(i)arius	pecularius		specularius
-aria	rius		brattiarius
-arpo	erpo		praecerpo
-as	ca		Proca
-as	pa		Agrippa
-asco	esco		teneresco
-ascor	pasco		depasco
-asis	psis		paropsis
-asius	aseus		Halicarnaseus
-assius	naseus		Halicarnaseus
-assius	nasius		Parnasius
-assus	nasus		Halicarnasus
-beia	baia		ambubaia
-ber	ris		insalubris
-beus	aeus		scarabaeus
-bris	eber		celeber
-byblos	biblos		monobiblos
-cha	uca		carruca
-chralis	lcralis		sepulcralis
-chretum	lcretum		sepulcretum
-chrum	lcrum		sepulcrum
-chuma	achma		drachma
-cium	acia		armoracia
-cius	ceus		hordeaceus
-cius	ctus		aulicoctus
-cla	ula		securicula
-clum	ulum		spectaculum, tomaculum, umbraculum
-cor	sco		pasco
-cre	rum		inuolucrum
-ctho- -cto-	ntichthones		antichthones
-cto	tor		amplector
-culus	culum		perpendiculum
-cunque	cumque		quacumque, qualiscumque, quandocumque, quicumque, quotienscumque, quantuscumque
-cuo	ueo		ablaqueo
-cus	uus		obliquus, pedisequus
-cus	ius		Anactorius
-cō	uo		discoquo
-datios	dateus		Mithridateus
-datius	dateus		Mithridateus
-decumani	decimani		quartadecimani
-decumanus	decimanus		quintadecimanus
-dianus	edanus		subaedanus
-dibilis	sibilis		comprehensibilis
-dinarius	denarius		cuppedenarius
-drea	drya		melandrya
-dros	nder		Menander
-drus	nder		Maeander, Anaximander
-e	l		capital
-e	i		procliui
-ea	ia		fascia, Galatia, spongia, adoria
-eius	geus		Sigeus, Argeus
-ela	lla		obsequella
-elis	ilon		onochilon
-ellum	illum		scabillum
-ellus	illus		codicillus
-enius	inius		faecinius
-enses	esses		decatresses
-ensimus	gesimus		nonagesimus, quinquagesimus
-ensimus	tesimus		nongentesimus
-ensius	nesius		Proconnesius
-ensus	nesos		Proconnesos
-ensus	nesus		Peloponnesus
-enus	inus		Dyrrhachinus
-eo	io		deascio
-eola	iola		fasciola, maceriola
-eor	reo		demereo, emereo, promereo
-eor	ceo		excalceo
-eris	aris		phalaris
-erosus	orosus		facinorosus
-es	ex		ramex
-esco	isco		delitisco
-esis	nsis		Peloponnensis
-essus	besus		obesus
-estor	mesor		comesor
-eteus	iteus		Polycliteus
-eticus	iticus		purpuriticus
-etius	iteus		Polycliteus
-etus	itus		Polyclitus
-eum	ion		psyllion
-eus	eus		Daedaleus, Atalantaeus
-eus	ius		pellicius, Pittheius, precarius, Taenarius, ambrosius, Aristotelius, aerius, aetherius
-eus	les		Achilles
-eē	ea		Leucothea
-eō	do		frendo, instrido
-eō	or		polliceor
zzz
-fascine	fiscini		praefiscini
-forus	horus	+1	pastophorus
-frango	fringo		diffringo
-giae	egae	--1	Aegae
-glesco	glisco		reglisco
-gni- -gine-	.	abiegnus		abiegnus
-go	eo	+1	detergeo
-guo	ngo	-2	tingo
-gō	eo	-3	extergeo
-i	s	-2	Tingis
-ia	ea		Chaeronea, Dicaearchea, tinea, Anticlea, collactea
-ia	ia		Paroreia
-ia	ra	-3	uniuira
-iae	eae		sculponeae
-iatus	eatus		excalceatus
-ici	qui	+1	antiqui
-ictor	nctor	+1	pollinctor
-icula	ecula		trabecula
-ideō	edeo		supersedeo
-ienses	nenses		Tarracinenses
-iensis	eensis		Heracleensis
-iensis	pensis	--1	Philippensis
-iensis	nensis	--1	Mediolanensis
-ies	ens	+1	aliquotiens, octingentiens, quindeciens, quingentiens, quinquagiens
-ietum	netum	+1	castanetum
-ilatim	llatim	+1	frustillatim
-illus	ellus		porcellus
-iniscō	niscor	+1	comminiscor
-iniō	lino	--1	circumlino, oblino
-innum	inium	--1	conticinium
-inpono	impono		superimpono
-iolus	eolus		phaseolus, argenteolus
-ion	ium		smyrnium, Aegium, cycnium, daemonium, anthyllium, apodyterium
-ion	eum		cichoreum
-ior	rio	--1	comperio, nutrio
-ior	cio	--1	nancio
-ior	tio	--1	partio
-ior	nio	--1	somnio
-ios	eus		Spercheus
-is	er	0	acipenser
