iouistē	 @   $ adv. ^  \ perhaps = iustē (cf.  $ iouestod ^ , perhaps =  $ iusto ^ , in  $ CIL ^\;  1.1).
Īphigenīa	 @   # ~ae @   $ f. ^  Forms: accusative  $ ~an ^   # Ov. @   $ Pont. ^  3.2.62;  $ Eph- ^   $ Rhet. Her. ^\;  3.34. \The daughter of Agamemnon, sacrificed at Aulis to secure fair winds for the Greek expedition against Troy; the title of a play of Ennius.
Isocratēus	 @   # ~a, ~um @   $ adj. ^  Also  # Isocratīus @ . Prosody, Orthography:  $ Eissocr-   ^# Lucil. @\;  186. \Of or belonging to Isocrates; (m. as noun) a disciple of Isocrates.
Ixīonius	 @   # ~a, ~um @   $ adj. ^  Forms: genitive f. sg.  $ ~es ^   # Lucil. @\;  25 (echoing Homer).\ Of or pertaining to Ixion.
K,	 @   # k @ .\ The tenth letter of the Roman alphabet, used occas. in place of C; (for words not found here see under C) As an abbreviation stands for  $ Kaeso ^ ,  $ kalendae ^ ,  $ calumnia ^ ,  $ caput ^ ,  $ carus ^\; , etc.
labia	 @   # ~ae @   $ f. ^  see labium.  # Labīcānus @   # ~a, ~um @   $ adj. ^  Also  # Lau-, @   # Lāu- @ .\ Of or belonging to Labici;  $ uia ~a ^\; , one of the roads entering Rome from the SE; (neut. as noun) the territory of Labici; (m. pl. as noun).
Lapithēs	 @   # ~ae @   $ m. ^  Forms:  $ ~um ^  (genitive pl.)  # Verg. @   $ A. ^\;  7.305.\ (mythology, pl.) A Thessalian tribe, famous for their fight with the Centaurs; (sg.) one of the Lapithae.
Leptis	 @   # ~is @   $ f. ^  Also  # Lepcis @ .\ The name of two cities on the N. African coast:  $ ~is Magna ^ , in Tripolitania;  $ ~is Minor ^\;  in Tunisia.
liciniō	 @   # ~āre @   $ tr. ^  \(Word of unknown meaning, perhaps f.l. for  $ linio = lineo ^\; , in presumed sense 'to outline'.).
Ligus1	 @   # ~uris @   $ m. ^  Also  # Ligur @ . Forms: nominative sg.  $ Ligur ^   # Luc. @\;  1.442. \One of the Ligurians, a tribe of Cisalpine Gaul; (especially pl.).
Lūcīlius	 @   # ~ia, ~ium @   $ adj. ^ \ A Roman gentile name, especially as borne by C. Lucilius the satirist ( $ c. ^\;  180102 bc).
M,	 @   # m @ . \the twelfth letter of the Latin alphabet, a bilabial nasal; as final, however,  $ m ^  appears to be merely a graphic device to denote nasalization of the preceding vowel. As an abbreviation M stands for:  $ Marcus ^ ,  $ maximus ^ ,  $ mille ^ ,  $ milia ^ ,  $ municipium ^ , etc.; M' for:  $ Manius ^\; .
Maelius	 @   # ~a, ~um @   $ adj. ^\  The name of a Roman  $ gens ^\; ; especially Sp. Maelius who in 440 bc was accused of aiming at supreme power and put to death.
Mancīnus1	 @   # ~ī @   $ m. ^\  A Roman  $ cognomen ^\; ; especially C. Hostilius Mancinus who as consul in 137 bc was defeated by the Numantines and made a peace, to his disgrace.
Manlius	 @   # ~a, ~um @   $ adj. ^\  The name of a Roman  $ gens ^\; ; especially M. Manlius who saved the Capitol from the Gauls and was subsequently put to death for treason; and T. Manlius who had his son executed for disobedience on mil. service and became a byword for severity.
Marcellus	 @   # ~ī @   $ m. ^\  A Roman name in the Claudian  $ gens ^\; ; especially M. Claudius Marcellus, a general who captured Syracuse in the Second Punic War; also M. Marcellus, the nephew of Augustus.
marmur	 @   # ~uris @   $ neut. ^  see marmor1.  # Marō1 @   # ~ōnis @   $ m. ^ \ The  $ cognomen ^\;  of the poet Virgil; (in pl., as the type of an outstanding poet).
Massilitānus	 @   # ~a, ~um @   $ adj. ^  Forms: in tmesis  # Enn. @   $ Ann. ^  610. Prosody: 3rd syllable long  # Mart. @\;  3.82.23.\ Of or belonging to Massilia; (m. pl. as noun) its inhabitants; (neut. as noun) its wine.
māteriēs	 @   # ~ēī @   $ f. ^\  see māteria. ? eee
māterīnus	@   # ~a, ~um @   $ adj. ^\  (dub. word, derived by some editors from  $ materia ^\; ).jjj
Matius	 @   # ~(i)ī @   $ m. ^  Also  # Matt- @ .\ The name of a Roman  $ gens ^\; .
Maurētānia	 @   # ~ae @   $ f. ^  Also  # Maurītānia @\; .\ A country of North Africa, corresponding to parts of Morocco and Algeria, formed by Claudius into two provinces.
Melampūs	 @   # ~podis @   $ m. ^  Forms: vocative  $ ~pu ^   # Stat. @   $ Theb. ^\;  3.546.\ (mythology) A celebrated soothsayer and healer.
Memmius	 @   # ~a, ~um @   $ adj. ^\  The name of a Roman  $ gens ^\; ; especially C. Memmius, a contemporary of Cicero and friend of Lucretius.
Menēnius	 @   # ~a, ~um @   $ adj. ^  Also  # Menenn- @ .\ The name of a plebeian  $ gens ^\; , especially Menenius Agrippa who according to legend ended the secession of the plebs in 494 bc by telling the parable of the body and limbs.
Menoetiadēs	 @   # ~ae @   $ m. ^  Forms: dative  $ ~i ^   # Fro. @   $ Amic. ^\;  2.p.174(192N).\ The son of Menoetius, Patroclus.
Messalla,	 @   # Messāla @   # ~ae @   $ m. ^\  A Roman cognomen, especially that of the orator M. Valerius Messalla Corvinus ( $ c. ^\;  63 bcad 8), patron of Tibullus.
Metō3,	 @   # Metōn @   # ~ōnis @   $ m. ^\  An Athenian astronomer (fl.  $ c. ^  433 bc) who introduced a solar cycle of nineteen years; hence,  $ ~onis annus ^\; , an indefinitely long period.
Milō2	 @   # ~ōnis @   $ m. ^  \A  $ cognomen ^\;  assumed by T. Annius Papianus, tribune in 57 bc, the enemy and finally murderer of Clodius.
Morinī	 @   # ~ōrum @   $ m. pl. ^  Forms: genitive pl.  $ ~um ^   # Grat. @\;  174.\ A Belgic tribe living in the Pas-de-Calais; also, their territory.
Muluius	 @   # ~a, ~um @   $ adj. ^  Also  # Moluius @ .\ The name of a Roman  $ gens ^ ; especially  $ pons (poet. agger) ~us ^\; , the bridge carrying the Via Flaminia across the Tiber north of Rome.
Myrōn	 @   # ~ōnis (~ōnos) @   $ m. ^  Also  # Myrō @ . \A famous Attic sculptor, fl.  $ c. ^\;  480445 bc.
Mytilēnae	 @   # ~ārum @   $ f. pl. ^  Also  # ~ē @   # ~ēs @   $ f. ^ ,  # Mityl- @ . Prosody: allegedly  $ Mȳtĭlĕn- ^  in  # Enn. @   $ var. ^\;  36 (passage probably corrupt). \The chief city of Lesbos, Mytilene.
Mytilēnaeus	 @   # ~a, ~um @   $ adj. ^  Also  # Mityl- @\; . \Of or belonging to Mytilene; (m. as noun) a citizen of it.
N,	 @   # n @ .\ The thirteenth letter of the Roman alphabet, a dental nasal, or before  $ c, g, q ^  a guttural nasal. As an abbreviation stands for:  $ natio, nepos, nihilum, Nonae, nummus, Numerius, numerus ^\; , etc.
Nērēis,	 @   # -ĕis @   # ~idis or ~idos @   $ f. ^  Forms: vocative  $ Nērĕĭ ^   # Ov. @   $ Met. ^\;  13.858.\ One of the Nereids, sea nymphs born of Nereus and Doris.
Neriō	 @   # ~ienis @   $ f. ^  Also  # Neria @   # ~iae @ ,  # Nerienis @ ,  # ~ienes @ . Prosody: uncertain in most examples (-iĕn-  # Imbr. @   $ com. ^  1); Aulus Gellius, in a discussion of the subject (13.23) favours  $ Nĕriēn- ^\; . \A Roman goddess, cult partner or wife of Mars.
Nymphidius	 @   # ~a, ~um @   $ adj. ^ \ The name of a Roman  $ gens ^\; , especially C. Nymphidius Sabinus, praetorian prefect under Nero.
Nȳsa1	 @   # ~ae @   $ f. ^\  The daughter of Aristaeus, nurse to Bacchus (cf.  # Plin. @   $ Nat. ^\;  5.74).
oetor	 @  archaic form of ūtor.  # oetum @   # ~ī @   $ neut. ^ \ A plant with an edible root, perhaps = Greek οὔιτον or οὔιγγον ( $ Egyptian arum ^\; , Colocasia antiquorum), but if so, badly described.
orsinus?	 @   # ~ī @   $ ?m. ^\  an apocryphal plant (a misreading by Pliny of ὀρεινός in Theophrastus  $ Historia Plantarum ^\;  6.8.3).
Pācuuius	 @   # ~ia, ~ium @   $ adj. ^  Also  # Pācuius @ .\ The name of a Roman  $ gens ^ , especially of M. Pacuvius (220 $ c. ^\;  130 bc) the tragedian and nephew of Ennius.
Palamēdēs	 @   # ~is @   $ m. ^  Forms:  $ ~i ^  (genitive)  $ Inc. trag. ^  58,  $ Rhet. Her. ^\;  2.28.\ A son of Nauplius, king of Euboea; he was said to have invented letters, figures, etc., and his death was contrived by Odysseus in revenge for his acuteness in detecting the latter's stratagem to avoid going to Troy.
Palēs	 @   # ~is @   $ f. ^   $ (m.) ^  Gender: m. in Varro, according to  # Serv. @   $ G. ^\;  3.1.\ A tutelary deity of flocks and herds; (also pl., apparently as a malefemale pair).
Pedius	 @   # ~a, ~um @   $ adj. ^  \The name of a Roman  $ gens ^ , especially of Q. Pedius, the son (probably) of Caesar's elder sister;  $ lex ~a ^\; , a law providing for the trial of Caesar's murderers.
Pēle͡us1	 @   # ~eos or ~eī @   $ m. ^  Forms  $ and ^  Prosody:  $ ~eus ^  (nominative sg.) trisyllabic  # Acc. @   $ trag. ^  668;  $ ~e͡u ^  (vocative);  $ ~ea ^  (accusative);  $ ~ei ^  (genitive) disyllabic  # Catul. @  64.382, trisyllabic  # Pac. @   $ trag. ^  162 (s.v.l.);  $ ~eo ^  (dative and ablative) disyllabic  # Catul. @\;  64.336. \The son of Aeacus and father of Achilles.
Petreius	 @   # ~a, ~um @   $ adj. ^  \The name of a Roman  $ gens ^\; ; especially M. Petreius, legate of C. Antonius against Catiline and later of Pompey in the Civil War.
Phaedra	 @   # ~ae @   $ f. ^  Prosody: nominative  $ ~ā ^   # Ov. @   $ Ars ^\;  1.511.\ The daughter of Minos and wife of Theseus, who fell in love with her stepson Hippolytus.
Phoenix1	 @   # ~īcis (~īcos) @   $ m. ^  Forms: apparently  $ Poenix ^  in  # Var. @   $ L. ^\;  8.65.\ A Phoenician; (especially pl.).
Phrygia	 @   # ~ae @   $ f. ^  Orthography:  $ Froeg- ^   # Acc. @   $ trag. ^\;  178 (s.v.l.).\ A country comprising part of the centre and west of Asia Minor; (poet.) Troy.
Pictor2	 @   # ~ōris @   $ m. ^\  A cognomen of the  $ gens Fabia ^\; , especially Q. Fabius Pictor, the historian, who lived at the time of the Second Punic War.
pinnus	 @  (? or  # ~um @ ). \Word given as the etymological source of  $ bipennis ^\; .
Plīnius	 @   # ~a, ~um @   $ adj. ^\  The name of a Roman  $ gens ^ , especially of C. Plinius Secundus, ad 23/479, the author of the Natural History, and (in quotations) his nephew C. Plinius Caecilius Secundus,  $ c. ^\;  ad 61114.
