atrebates	ātrebatēs	atrebat
deterior	dēterior	dēterior
harudes	harūdēs	harūd
pertenuis	pērtenŭis	pertenŭ
praetenuis	praetenŭis	praetenŭ
tethys	tēthȳs	tēthȳ
prior	prior	prior
celeiates	celēiātēs	celēiāt
coessentialis	coēssēntiālis	coessentiāl
cunifer	cūnifer	cūnifr
leucophrys	lēucophrȳs	leucophry
leuites	lēvītēs	lēuīt
lingones	līngonēs	ligon
praecluis	prāeclŭis	praeclŭ
subtenuis	sūbtenŭis	subtenŭ
aser	aser	asr
brabifer	brabifer	brabifr
obiciter	obiciter	obicitr
posterior	pōsterior	posterior
audacter	āudācter	audac
pleiades	plēiadēs	plēiad
reccido	rēccido	reccid
tenuis	tenŭis	tenŭ
auger	āuger	augr
cluis	clŭis	clŭ
erinnys	erīnnȳs	erinny
palaeno	palāeno	palaenon
rachel	rachel	rachel
sampso	sāmpso	sampson
saurix	sāurīx	sauric
aemiliusmacer	āemiliūsmacer	aemiliusmacr
caracter	carācter	caractēr
contractatio	cōntrāctātio	contractātion
leber	leber	lebr
therothoes	thērothŏes	thērotho
thmuis	thmŭis	thmŭ
