consono	cōnsonō	cōnsonīt	cōnsŏnīt
conuomo	conuomo	conuomit	cōnvŏmĭt
decumbo	dēcumbo	dēcubit	dēcŭbĭt
dispereo	dispereō	disperit	dīspĕrĭt
facile	facile	facillim	făcĭllĭm
mature	mātūrē	mātūrim	mātūrĭm
paruus	paruus	minim	mĭnĭm
subdomo	subdomo	subdomit	sūbdŏmĭt
magnus	magnus	maxim,maxum	māxĭm,māxŭm
malus	malus	pessim	pēssĭm
uetus	uetus	uetustissim	vĕtūstīssim
circumaufero	circumaufero	circumaulāt	cīrcumāulāt
confio	confīo	confact	cōnfāct
contraeo	contraeo	contrait	cōntrăĭt
defio	dēfīō	dēfact	dēfāct
exarefio	exārefīo	exārefact	ēxārĕfāct
interfio	interfīo	interfact	īntērfāct
nigrefio	nigrefīo	nigrefact	nĭgrĕfāct
perferuefio	perferuefīo	perferuefact	pērfērvĕfāct
subinfero	subinfero	subinlāt	sŭbīnlāt
superfio	superfīo	superfact	sŭpērfāct
bonus	bonus	optim,optum	ōptĭm,optŭm
audacter	audacter	audacissim	āudacīssĭm
celere	celere	celerrim	cĕlērrĭm
ecbibo	ecbibo	ecbibit	ēcbĭbĭt
reccido	reccido	recas	rĕcās
subcubo	subcubo	subcubit	sūbcŭbĭt
uacefio	uacēfīō	uacēfact	văcēfāct
caluefio	caluēfīo	caluēfact	cālvēfāct
circumsideo	circumsideo	circumsess	cīrcūmsēss
conlubeo	conlubeo	conlubit	cōnlŭbĭt
consuefio	consuēfīo	consuēfact	cōnsŭēfāct
effio	effīo	effact	ēffāct
lutefio	lutefīo	lutefact	lŭtĕfāct
scarifio	scarīfīo	scarīfact	scărīfāct
sufferuefio	sufferuēfīo	sufferuēfact	sūffērvēfāct
coinfero	coinfero	coinlat	cŏīnlāt
introdeo	introdeo	introdit	īntrodĭt
malefio	malefīo	malefact	mălĕfāct
malfio	malfīo	malfact	mălfāct
olfio	olfīo	olfact	ōlfāct
sterilefio	sterilefīo	sterilefact	stĕrĭlĕfāct
minor2	minor	minat	mĭnāt
