(h)ari-	harusp		haruspex
(h)ib-	hybri		hybrida
-a	s	es=a,as=a,is=ia,us=a	canities, Carmentis, choraules, Pelias, planities, sophistes, Atrides
-a	e	ae=e,e=a,oe=a	Circe, cunae, Dione, elate, Ephyre, Erigone, facetiae, gnomonice, Grauiscae, Hecate, Hermione, heroine, Iugulae, Messene, Omphale, oporothece, oxymyrsine, Panope, Penelope, Phoenice, Pirene, Priene, Salonae, Scythice, Semele, Sinope, Taygete, Temese, Antemnae, Aphidnae, Ariane, Arsinoe
-a	n	-2	Dindymon
-a	a	ia=a,a=a	Patara, Argia
-aa	ae		Pasiphae
-acium	aceus		mustaceus
-aclum	culum	-5	gubernaculum
-ae	ia		Cutilia
-ae	sa	-1	Pagasa
-aea	hea	-2	Amalthea
-aeum	geum	-3	hypogeum
-aicus	aecus		Callaecus
-ana	ena		Athena
-ans	mas	-2	adamas
-apsis	opsis	-3	paropsis
-ar(i)arius	pecularius	--3	specularius
-aria	rius		brattiarius
-arpo	erpo		praecerpo
-as	ca	-1	Proca
-as	pa	-1	Agrippa
-asco	esco		teneresco
-ascor	pasco	-4	depasco
-asis	psis	-3	paropsis
-asius	aseus		Halicarnaseus
-assius	naseus	-4	Halicarnaseus
-assius	nasius	-4	Parnasius
-assus	nasus	-4	Halicarnasus
-atis	enas	-2	Capenas
-beia	baia		ambubaia
-ber	ris	-4	insalubris
-beus	aeus		scarabaeus
-bris	eber	-3	celeber
-byblos	biblos		monobiblos
-cha	uca	-2	carruca
-chralis	lcralis	--1	sepulcralis
-chretum	lcretum	--1	sepulcretum
-chrum	lcrum	--1	sepulcrum
-chuma	achma	--1	drachma
-cium	acia	-2	armoracia
-cius	ceus		hordeaceus
-cius	ctus		aulicoctus
-cla	ula	-4	securicula
-clum	ulum	+1	spectaculum, tomaculum, umbraculum
-co	uo	-3	discoquo
-cor	sco	-2	pasco
-cre	rum	-4	inuolucrum
-ctho- -cto-	.	ntichthones		antichthones
-cto	tor	-4	amplector
-culus	culum		perpendiculum
-cunque	cumque		quacumque, qualiscumque, quandocumque, quicumque, quotienscumque, quantuscumque
-cuo	ueo	-4	ablaqueo
-cus	uus	-4	obliquus, pedisequus
-cus	ius	-3	Anactorius
-cō	uo	-3	discoquo
-datios	dateus		Mithridateus
-datius	dateus		Mithridateus
-decumani	decimani		quartadecimani
-decumanus	decimanus		quintadecimanus
-dianus	edanus	--1	subaedanus
-dibilis	sibilis		comprehensibilis
-dinarius	denarius		cuppedenarius
-drea	drya		melandrya
-dros	nder	--1	Menander
-drus	nder	--1	Maeander, Anaximander
-e	l	-2	capital
-e	a		Clytia, Dodona, Eriphyla, Europa, exagoga, geometrica, grammatica, Helena, Hersilia, Hesiona, Hippolyta, Ida, Iliona, Laconica, Leda, Leucata, Libya, mathematica, Melita, musica, parabola, Pella, phoca, Phthia, pinacotheca, poetica, Polyxena, Prochyta, Samothraca, Sparta, stacta, stela, symbola, Urania, Aeaea, Aetna, amygdala, Ariadna, arithmetica, Atalanta, Hippodamia, pyrricha, schola, Hypermestra
-e	i		procliui
-ea	ia		fascia, Galatia, Seleucia, spongia, adoria, Antiochia
-ebes	lebs	--1	plebs
-ee	ea		Leucothea
-eius	geus	--1	Sigeus, Argeus
-ela	lla	+1	obsequella
-elis	ilon		onochilon
-ellum	illum		scabillum
-ellus	illus		codicillus
-en	io		Anio
-enius	inius		faecinius
-enses	esses		decatresses
-ensimus	gesimus	--1	nonagesimus, quinquagesimus
