transferō trāfero trālfero
abiegnus abiegnis abgines
Aegae Aegaeae Aegeae
agnascor adnascor adgnascor
allubescō allibescō adlibescō
amptruō amtruō antruō
animaduerto animaduertō animaduortō
antichthones anticthones antictones
Antiochensis1 Antiochesis Antiochiensis
antīquus antīcus antīcuus
aplūda appluda adpluda
applaudō adplōdo applōdo
apsis absis hapsis
aquola acula aquula
aspergō1 aspargō adspargō
aspergō2 aspargō adspargō
assecula adsecula assecla
assimulō assimilō adsimilō
astridō astrideō adstrideō
attemptō adtempto attentō
attrectō adtrecto attractō
auunculus aunculus auonculus
