!! in this sheet a lemma must be preceded by _
!! and an alt spelling must be preceded by *
iocur	iociner
cocles9	coculit
_appetitio	appetition
*adpetitio	adpetition
_tegimen	tegimin
*tegumen	tegumin
_tegimen	tegimin
*tegmen	tegmin
_affectatio	affectation
*adfectatio	adfectation
senex1	sen
_adolescens1	adolescent
*adulescens1	adulescent
iter	itiner
supellex	supellectil
uetera	ueter
uetera9	ueter
_affinis1	affin
*adfinis	adfin
bos9	bou
_heluo	heluon
*helluo	helluon
_diiunctio	diiunction
*disiunctio	disiunction
_colluuio	colluuion
*conluuio	conluuion
_praesaepe	praesaep
*praesepe	praesep
_approbatio	approbation
*adprobatio	adprobation
_heluatio	heluation
*helluatio	helluation
_applicatio	application
*adplicatio	adplication
_collusor	collusor
*conlusor	conlusor
_septemuiralis1	septemuiral
_illicitator	illicitator
*inlicitator	inlicitator
_submissio	submission
*summissio	summission
_collocutio	collocution
*conlocutio	conlocution
_sulfur	sulfur
*sulpur	sulpur
_annotatio	annotation
*adnotatio	adnotation
interiora	interior
_plausor	plausor
*plosor	plosor
praeceps1	praecipit
anceps1	ancipit
_fenilia	fenil
*faenilia	faenil
_olus	oler
*holus	holer
inferiora	inferior
_uultur9	uultur
*uoltur	uoltur
_quadrupedans1	quadrupedant
*quadripedans1	quadripedant
_colluctatio	colluctation
*conluctatio	conluctation
_suppuratio	suppuration
*subpuratio	subpuration
_insitor	insitor
*institor	institor
_compensatio	compensation
*conpensatio	conpensation
_aeneator	aeneator
*aenator	aenator
_computator	computator
*conputator	conputator
_compago	compagin
*conpago	conpagin
_feles	fel
*faeles	fael
cornicem	cornicin
_imputator	imputator
*inputator	inputator
_designator	designator
*dissignator	dissignator
superiora	superior
_alucinatio	alucination
*halucinatio	halucination
_tapanta	tapant
*topanta	topant
auceps	aucup
carduelis	cardel
_circitor	circitor
*circumitor	circumitor
anas1	anit
_rheno	rhenon
*reno	renon
_quinueremis	quinuerem
*quinqueremis	quinquerem
_loligo	loligin
*lolligo	lolligin
_compar1	compar
*conpar1	conpar
flemina	flemin
_collator	collator
*conlator	conlator
_expurgatio	expurgation
*expurigatio	expurigation
ulteriora	ulterior
_cucullio	cucullion
*cuculio	cuculion
_praesaepes	praesaep
*praesepes	praesep
_allex	allec
*hallex	hallec
_commis	comm
*cummis	cumm
tormina	tormin
oxymeli	oxymel
_immutatio	immutation
*inmutatio	inmutation
sardonyx	sardonych
_cupedo	cupedin
*cuppedo	cuppedin
uermina	uermin
penteremis	penter
_pelamis	pelamid
*pelamys	pelamyd
iuppiter9	iou
milyae9	milyad
pessinus9	pessinunt
bias9	biant
anio9	anien
_orcas9	orcad
*orchas9	orchad
caere9	caerit
ausonidae9	ausonid
poeas9	poeant
cephallenes9	cephallan
_thucidides9	thucidid
*thucydides9	thucydid
uaccenses9	uagens
_aliacmon9	aliacmon
haliacmon9	haliacmon
_ptolemais9	ptolemaid
*ptolomais9	ptolomaid
_phitoleon9	phitoleont
*pitoleon9	pitoleont
_cerialia9	cerial
*cerealia9	cereal
_taurinites9	taurinit
*tauraunites9	tauraunit
_trinobantes9	trinobant
*trinouantes9	trinouant
hierocaesarien.9	hierocaesariens
_iazyges9	iazyg
*iazuges9	iazug
_iliberris9	iliberr
*illiberis9	illiber
_rhodienses9	rhodiens
*rodienses9	rodiens
_epirenses9	epirens
*apirenses9	apirens
onomas9	onomant
_phthiotes9	phthiot
*pthiotes9	pthiot
_uelliocasses9	uelliocass
*ueliocasses9	ueliocass
