CicPhi08	Cicero,PhilippicaOratio_CicPhi08
CicArch	Cicero,ProArchia_CicArch
CicMil	Cicero,ProMilone_CicMil
CicRabP	Cicero,ProRabirioPostumo_CicRabP
CicPVati	Cicero,ProPVatinioFragmenta_CicPVati
Cic2Ver4	Cicero,InVerremActioSecunda_Cic2Ver4
CicRabPe	Cicero,ProCRabirioPerduellionisReo_CicRabPe
Cic2Ver5	Cicero,InVerremActioSecunda_Cic2Ver5
CicBalb	Cicero,ProBalbo_CicBalb
CicPhi09	Cicero,PhilippicaOratio_CicPhi09
CicTogCan	Cicero,InSenatuInTogaCandidaContraCAntoniumEtLCatilinamCompetitoresFragmenta_CicTogCan
Cic2Ver2	Cicero,InVerremActioSecunda_Cic2Ver2
Cic2Ver3	Cicero,InVerremActioSecunda_Cic2Ver3
CicLegA1	Cicero,DeLegeAgraria_CicLegA1
CicLegA3	Cicero,DeLegeAgraria_CicLegA3
Cic2Ver1	Cicero,InVerremActioSecunda_Cic2Ver1
CicLegA2	Cicero,DeLegeAgraria_CicLegA2
CicCFund	Cicero,ProCFundanioFragmenta_CicCFund
CicSul	Cicero,ProSulla_CicSul
CicHarus	Cicero,DeHaruspicumResponso_CicHarus
CicProv	Cicero,DeProvinciisConsularibus_CicProv
CicMetel	Cicero,ContraContionemQMetelliFragmenta_CicMetel
CicAClu	Cicero,ProACluentio_CicAClu
CicCat4	Cicero,InCatilinam_CicCat4
CicVatin	Cicero,InVatinium_CicVatin
CicCat1	Cicero,InCatilinam_CicCat1
CicSenec	Cicero,DeSenectute_CicSenec
CicLVare	Cicero,ProLVarenoFragmenta_CicLVare
CicMTull	Cicero,ProMTullio_CicMTull
CicCat3	Cicero,InCatilinam_CicCat3
CicDeiot	Cicero,ProRegeDeiotario_CicDeiot
CicCat2	Cicero,InCatilinam_CicCat2
CicAerAl	Cicero,InterrogatioDeAereAlienoMilonisFragmenta_CicAerAl
CicIncFr	Cicero,Incertarum0rationumFragmenta_CicIncFr
CicACaec	Cicero,ProACaecina_CicACaec
CicPis	Cicero,InLCalpurniumPisonem_CicPis
