!!! a word preceded by _ is the head lemma, the word in the right column is the oblique stem
!! a word in the left column not preceded by _ is a variant of the word above it
_oppugnatio	oppugnation
obpugnatio	obpugnation
_complures1	complur
conplures	conplur
_linter	lintr
lunter	luntr
_acclamatio	acclamation
adclamatio	adclamation
_oppugnator
obpugnator
_quadruplator	
quadriplator	quadriplator
_opportunitas	opportunitat
oportunitas	oportunitat
_fautor
fauitor
_deminutio	deminution
diminutio	diminution
_internecio	internecion
internicio	internicion
_appellatio	appellation
adpellatio	adpellation
_uulneratio	uulneration
uolneratio	uolneration
_reuersio	reuersion
reuorsio	reuorsion
_quadrupes1	quadruped
quadripes	quadriped
_nomenclator	
nomenculator	nomenculator
_commissio	commission
_librator	
libritor	libritor
_computatio	computation
conputatio	conputation
_forceps	forcip
forpex	forpic
_genetrix	genetric
genitrix	genitric
_iecur	iecor	,ieciner
iocur	iocor,iociner
_caulis	caul
colis	col
_mephitis	mephit
mefitis	mefit
_septentrio	septentrion
septemtrio	septemtrion
_septentrio9	septentrion
septemtrio9	septemtrion
_serapis9	serapid,serap
_cocles9	coclit,coculit
_anubis9	anubid,anub
_soracte9	soract
sauracte9	sauract
_lugdunenses9	lugdunens
lugudunenses9	lugudunens
_rhescuporis9	rhescuporid,rhescupor
_allocutio	allocution
adlocutio	adlocution
_impes	impet
inpes	inpet
_arundo	arundin
harundo	harundin
_uiuiradix	uiuiradic
uiueradix	uiueradic
_appetio	appetition
adpetio	adpetition
_orchitis	orchit
orcitis	orcit
_comprehensio	comprehension
conprehensio	conprehension
_immortalitas	immortalitat
inmortalitas	inmortalitat
_exsultatio	exsultation
exultatio	exultation
_uallis	uall
ualles	uall
_caudex	caudic
codex	codic
_impunitas	impunitat
inpunitas	impunitat
_uultur	uultur
uoltur	uoltur
_muto1	muton
mutto	mutton
_comissatio	comissation
comessatio	comessation
_comissatio	comissation
comisatio	comisation
_fenus	fenor
faenus	faenor
_pecten	pectin
pectinis	pectin
_commemoratio	commemoration
conmemoratio	conmemoration
_aedes	aed
aedis	aed
_irruptio	irruption
inruptio	inruption
_irrisio	irrision
inrisio	inrision
_irrogatio	irrogation
inrogatio	inrogation
_imperator	
inperator
_imperator	
induperator
_carnifex	carnific
carnufex	carnufic
_fenerator
faenerator
_libido	libidin
lubido	lubidin
_importunitas	importunitat
inportunitas	inportunitat
_humor
umor
_collectio	collection
conlectio	conlection
_regimen	regimin
regumen	regumin
_obstetrix	obstetric
opstetrix	opstetric
_hiems	hiem
hiemis	hiem
_opilio	opilion
upilio	upilion
_lac	lact
lacte	lact
_improbitas	improbitat
inprobitas	inprobitat
_pellex	pellic
paelex	paelic
_pellex	pellic
pelex	pelic
_impietas	impietat
inpietas	inpietat
_compositio	composition
conpositio	conposition
_cliens	client
cluens	cluent
_coniux	coniug
coniunx	coniung
_appetitio	appetition
adpetitio	adpetition
_exspectatio	exspectation
expectatio	expectation
_tegimen	tegmin
tegumen	tegmin
_tegimen	tegmin
tegmen	tegmin
_religio	religion
relligio	relligion
_feneratio	feneration
faeneratio	faeneration
_origo	origin
originis	origin
_immanitas	immanitat
inmanitas	inmanitat
_uulpes	uulp
uolpes	uolp
_ualetudo	ualetudin
ualitudo	ualitudin
_exsul	
exul
_tibicen	tibicin
tubicen	tubicin
_exsecratio	exsecration
execratio	execration
_imbecillitas	imbecillitat
inbecillitas	inbecillitat
_caupo	caupon
copo	copon
_suboles	subol
soboles	sobol
_robigo	robigin
rubigo	rubigin
_affectatio	affectation
adfectatio	adfection
_collatio	collation
conlatio	conlation
_uulnus	uulner
uolnus	uolner
_uis	uir
_ascriptor
adscriptor
_femur	femor,femin
